,연수명,내용,별점,등록일
10,"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",인공지능 기술이 발전하면서 이제는 인공지능이 사회 전반에 영향을 미치면서 인공지능 활용의 필요성이 요구되기 시작했다. 하지만 인공지능이 인간을 대체한다는 인공지능의 부정적인 면이 많이 이슈화 되면서 활용의 필요성이 묻혀지는 면이 있는것 같다. 이제는 이런 부정적인 면의 걱정보다는 이를 유용히 활동할 필요가 있으며 교육현장에서도 인공지능 기술을 활용한 학습모형의 개발이 다양하게 이루어져야 될 것이다.,rate5,2023.07.25
11,추억 소환! 종이접기 리턴즈,선생님께서 차근차근 잘 설명해주셔서 8살 아이도 쉽고 재미있게 수강할 수 있었습니다.,rate5,2023.07.25
12,직업탐구 - 별일입니다,"직업의 다양한 매력과 과정 및 실제 직업인의 솔직한 후기등이 매력적인 연수였습니다.
학생들 진로교육시에 매우 도움이 되었습니다.",rate5,2023.07.25
13,서준호 선생님의 놀이 끝판왕 100,"놀이 활동, 접촉 활동 없이 코로나 시기를 2~3년 거치다 보니 알던 놀이들도 가물가물해지고 감각이 떨어져서 듣게 된 연수입니다.

놀이 도구 없이 간단히 할 수 있는 놀이에서부터, 장소별, 주제별 놀이들로 세분화되어 구성되어 있어 연수를 듣고 난 이후에도 상황별로 찾아서 바로 바로 적용해 볼 수 있고 활용도가 높습니다.

특히 놀이 전후 시작하는 말, 맺음 말 팁을 강사님께 배워 놀이로 흥분한 아이들을 가라앉혀 주기도 하고, 놀이 그 자체에 초점이기보다는 관계 돌아보기, 인성 교육도 이루어질 수 있어서 좋았습니다. 아이들과 즐겁게 놀고 싶은데 어떻게 시작해야 할지 몰라 부담이신 선생님들께 부담 없이 즐거운 학교 생활을 열어 줄 수 있는 연수로 추천드립니다!",rate5,2023.07.25
14,"학습부진, 천천히 함께 걷기","학습 부진 아동을 조금 더 이해하며 지도하고자 연수를 듣게 되었습니다. 학습 부진 아동을 지도하는 일은 많은 인내심이 요구되고 힘이 드는 일입니다. 학습 부진의 유형들을 찬찬히 다시 살펴보며 학습 부진아동을 이해하는 데 도움이 되었고, 체계적인 지도 방법을 제시해주는 연수여서 학습부진아를 지도하거나 학습부진아 학부모님을 상담하는 데 도움이 되었습니다. 학습부진의 사례는 조금 더 간결하게 다루고 지도 방법 제시 비중이 조금 더 높으면 좋겠다는 생각이 들었습니다.",rate4,2023.07.25
15,"기초학력교육, 관계형성이 먼저다.","의무연수는 정말 수강하기 넘 힘듭니다.

이 연수도 마찬가지로 수강하기 힘들거라 생각하고 아무런 기대도 하지 않았습니다.

하지만 몇 가지 건질만한 내용이 있더군요.

기초학력이 부족한 아이들에게 접근하는 방법

그들을 도와줄 수 있는 온라인 학습 도구와 보드게임까지...

이정도면 의무연수에 대한 편견이 사라지기에 충분했습니다.",rate5,2023.07.25
16,교실에서 바로 적용하는 스마트기기 활용 수업,교사는 더 배워야 할 것이 많아요. 문제를 해결하는 방법이 너무 많아요. 다양하게 배우며 적응해 나갑시다.,rate5,2023.07.24
17,조병영의 문해력 수업,요즘 문해력의 중요성을 알게 되어 아이들 지도에 도움이 될까 하여 연수를 신청하였다. 생각보다 어려운 연수였지만 그만큼 내 자신에 문해력에 대해 준비가 덜 되어 있고 아는 것이 적다고 반성하게 되었다.,rate3,2023.07.24
18,조병영의 문해력 수업,2학기에는 학생들의 문해력 향상을 위한 지도 방법을 좀 더 많이 활용해야겠어요. 좋은 연수였습니다.,rate5,2023.07.24
19,전문가가 알려주는 창의 영재교육의 비법,창의적 교육을 위해 도움이 되는 연수였습니다. 감사합니다.,rate5,2023.07.24
20,정재승의 미래학교,"미래 사회의 교육에 대한 변화와 사회 환경의 변화를 교육을 통해 알수 있어 좋았습니다.
그리고 협업을 통한 나를 성장 시키는 힘편도 좋았습니다.",rate5,2023.07.24
21,직업탐구 - 별일입니다,직업 탐구를 통해 학생들의 진로에 대해 더 많은 정보를 줄 수 있는 연수 엿다.,rate5,2023.07.24
22,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼",환경에 대해 다시 생각해 볼 수 있는 유익한 연수였어요~^^,rate5,2023.07.24
23,정재승의 미래학교,"미래학교라는 개념 자체가 생각보다 쉬운 개념은 아니었네요...
그래도 연수 덕에 어느 정도 가닥은 잡았고, 또 도움도 많이 되었습니다 ^^",rate5,2023.07.24
24,읽고 쓰고 만드는 그림책 수업,"평소 그림책에 관심이 많아 이 연수를 설레는 마음으로 신청했는데, 방학이 되자마자 단숨에 연수를 들었다. 다양한 그림책을 소개하고 감상이 창작으로 순환되는 멋있는 이야기였다. 학생과 교사가 함께 성장할 수 있는 아름다운 활동이었다.",rate5,2023.07.23
25,전문가가 알려주는 창의 영재교육의 비법,여러가지 활동 예시를 알려주셔서 좋았습니다~,rate4,2023.07.23
26,직업탐구 - 별일입니다,생각지도 못한 여러종류의 직업들이 있다는것을 알게 되었습니다.,rate5,2023.07.23
27,교실에서 바로 적용하는 스마트기기 활용 수업,"크롬뮤직랩, 구글 드라이브, 패들렛과 띵커벨 등은 이미 잘 사용하고 있어 그 효과를 알고 있는데, 미리캔버스가 아이들과 활용하기에 살짝 아쉬운 점이 있던 차에 이번 연수에서 canba 를 알게 되어, 개학과 함께 당장 사용해보고 싶습니다. 아트앤 컬쳐 라든가 구글바흐 같은 것도 개학하자마자 음악과 미술 시간에 활용해볼 생각에 신이 납니다. 전반적으로 고학년들과 함께 무궁무진하게 활용할 수 있는 내용들입니다.",rate5,2023.07.22
28,"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업","강좌를 통하여 챗GPT를 활용할 수 있는 자신감이 생겼으며, 학생들과 많은 실험을 할 수 있을 것 같습니다.",rate5,2023.07.21
29,정재승의 미래학교,미래 사회를 준비할 수 있는 좋은 연수였다. 학생들의 미래는 우리와 다른 미래가 펼쳐지기 때문에 학생들의 진로를 지도하는데 많은 도움이 되었다. 학생들과 함께 많은 생각과 다양한 의견을 공유하면서 공부하며 미래를 준비하는 자세가 필요하다고 느꼈다.,rate5,2023.07.21
30,조병영의 문해력 수업,요즘 아이들 문해력이 고민이었는데 너무 좋은 연수였어요.,rate5,2023.07.21
31,"4R'S로 키우는 힘, 기초학력교육","막막한 현실에서 부진아 도움이 큰 힘이 되었어요.
좋은 연수 많이 들으시길",rate5,2023.07.21
32,정재승의 미래학교,30차시가 언제 지나간지 모르게 흘러갔던거 갔아요. 매우 유익했습니다.,rate5,2023.07.21
33,Talk Talk(똑똑)한 금융교육,학교만 다니니 금융에는 문외한이었는데.. 연수를 통해서 관심을 가지게 되었다. 이제 퇴직까지 내 플랜을 세워보고자 한다,rate5,2023.07.20
34,미래 인재를 위한 디지털 리터러시,의무연수이기에 선택을 했는데.. 생각보다 연수가 도움이 많이 되었다. 알기 쉽게 연수가 진행돼서 나이가 좀 있는 선생님들도 도움이 많이 될 것 같다.,rate5,2023.07.20
35,세상 쉬운 고교학점제! 진로 진학 끝판왕,"고교학점제에 대해 철학과 배경, 운영 사례, 실제 운영 로드맵 등을 일목요연하게 정리된 연수였습니다. 그러나 2022개정 교육과정이 적용되지 않은 콘텐츠인듯합니다. 2015교육과정만을 다루고 있기 때문에 2022교육과정에서 달라진 점이 다루어지고 있지 않습니다. 이 점을 보충해야 한다고 생각합니다.",rate4,2023.07.19
36,"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업","요즘 화두인 인공지능에 대해 공부해 보고 싶어 연수를 신청해서 들었어요
내용이 어려운 부분이 많았지만 다양한 인공지능 사이트 가입하는 방법을 자세히 안내해서 좋았습니다.",rate5,2023.07.19
37,정재승의 미래학교,"정재승 교수의 말씀은 언제나 흥미롭고, 지적인 욕구를 충족시켜주는 내용입니다. 감사합니다.",rate5,2023.07.19
38,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼","연수 내용이 드라마를 보듯 재미있게 설정되어 있어
너무나도 재미있게 연수를 받았습니다.
지구의 온도가 1도-2도-3도 등으로 상승될 때마다
지구에 엄청난 재앙이 닥치는 영상을 보면서
위기감이 엄청 났습니다.
정말 하루라도 빨리! 아니 지금 당장!
기후위기에 적극 대처하는 마음 자세와 현실적인 실천력이 필요함을 배웠습니다.
좋은 연수 감사합니다~~~^^",rate5,2023.07.19
39,유초등을 사로잡는 감동의 그림책 놀이수업,그림책으로 수업을 배우는 좋은 연수 였습니다.,rate5,2023.07.19
40,"학습부진, 천천히 함께 걷기",학습부진 학생을 이해할 수 있는 계기가 되는 연수였습니다~,rate5,2023.07.19
41,정재승의 미래학교,"좋은 연수를 듣는 것은 좋은 책 한 권을 읽는 느낌과 같은 경험을 하게 됩니다.
이 연수가 그러했습니다. 이런 양질의 강의를 이렇게 쉽게 읽어내도 되는건가 싶습니다.
출퇴근길 잔잔한 정재승 교수님의 강의가 마치 책을 읽어주는 듯 하였습니다.
배움의 즐거움은 그야말로 행복입니다.

시험? 평가? 요것이 3번있는것도 재미있네요.
나의 오류를 확실하게 알고 가게 됩니다.",rate5,2023.07.18
42,"학습부진, 천천히 함께 걷기",1학년 담임교사로 살아가면서 내 학생들이 학습부진이 될까 노심초사하며 지도를 서둘렀던 것 같다. 가야 할 길은 먼데 서두른다 하여 금방 나아질 것도 아닌데 왠지 조급해 했던 것 같다. 이 연수의 제목이 마음에 와 닿았던 이유가 여기에 있다. 천천히 여유를 갖고 변화와 향상이 함께 하게 될 학생들의 모습을 꿈꾸며 올바른 지도를 하는 것이 교사의 몫이리라는 것을 다시금 생각하게 되었다.,rate5,2023.07.18
43,"학습부진, 기초튼튼! 실력쑥쑥!","이론적인 부분이 많아 머릿 속에 잘 안 들어오네요.
찬찬히 다시 살펴봐야 겠어요!",rate3,2023.07.18
44,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 학습지도,1학기가 끝나가는 시점에 들어도 좋은 연수임에 분명합니다.,rate5,2023.07.18
45,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼",삶과 앎이 일치되는 미래 환경교육을 통한 유용한 연수가 되었습니다. 앞으로도 교육현장에서 열심히 사용할 수 있도록 하겠습니다.,rate5,2023.07.18
46,유초등을 사로잡는 감동의 그림책 놀이수업,현직 교원에게 도움이 되는 내용이 알차고 다양합니다.,rate5,2023.07.18
47,유초등을 사로잡는 감동의 그림책 놀이수업,"다양한 주제의 그림책을 알게 되었고, 그림책을 읽고 그 속에 담긴 뜻을 알아보고 관련 놀이를 할 수 있는 방법을 알게 되었어요.
아이들과 더 재미난 책 읽기의 한 방법을 알게 되어 참 알찬 연수입니다.",rate5,2023.07.18
48,EBS다큐프라임으로 배우는 생태전환교육,"기후 위기, 생물 다양성 등과 관련된 수업에 많은 도움이 될 수 있을것 같습니다.",rate5,2023.07.17
49,"생각을 꺼내는 교육, 이제는 IB 시대","시대가 변하는만큼 교육도 변해야한다고 생각합니다.
훌륭한 연수 감사합니다!!",rate5,2023.07.17
50,한국어교육실습,한국어 교원능력 검정시험을 위한 과정의 마무리과정 잘 마쳤습니다. 감사합니다.,rate5,2023.07.17
51,디지털 네이티브 아이들의 메타버스 세상,메타버스에 대해 아는 데 도움이 됩니다.,rate5,2023.07.17
52,학습부진 이해와 지도 전략 - 함께 나아가다,유익하고 학습부진에 대한 기본적인 이해를 넓힐 수 있는 시간이었습니다.,rate5,2023.07.16
53,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼",기후위기에 대한 최신 정보들이 많아 유익하게 강의를 모두 들을 수 있었던 것 같습니다,rate5,2023.07.16
54,"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",유용한 연수였습니다.,rate3,2023.07.15
55,설민석의 한국사능력검정시험[심화]-하,한국 근 현대사 공부에 가장 적합한 연수입니다.,rate5,2023.07.15
56,EBS다큐프라임으로 배우는 생태전환교육,자연 환경 생태 등에 관심 있으신 선생님들이 좋아할 연수 내용 입니다. 모처럼 즐겁고 재미있게 받은 연수 중 하나였습니다.,rate5,2023.07.14
57,놀이와 질문이 함께하는 감동의 그림책 수업,배운 내용으로 교실에서 수업 해보겠습니다. 감사합니다.,rate5,2023.07.14
58,읽고 쓰고 만드는 그림책 수업,"그림책 수업 매우 유익하며, 바로 수업에 활용할 수 있어요.",rate5,2023.07.14
59,핵심만 콕! 수업에 바로 쓰는 메타버스,학생들과 재미있는 활동을 하며 즐겁게 수업을 할 수 있게 되었네요,rate5,2023.07.14
60,정재승의 미래학교,"다음 세대의 교육을 다시 한번 생각하게 하는 소중한 시간이었습니다.
감사합니다.",rate5,2023.07.13
61,"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업","에듀테크 수업이 강조되는 지금, 챗GPT 관련하여 어떤 수업을 할 수 있을까 고민하던 중 찾게 된 연수입니다.

챗GPT에 대한 개념 뿐 만 아니라 교사 세 분이 실제로 수업에 적용하셨던 사례들을 직접 실습하며 설명해주셔서

같이 따라하다 보니 쉽게 이해되고 수업에 적용하기 편리했습니다.

특히 챗GPT를 사용할 때의 유의점이나 질문하는 방법, 한계점을 이용한 수업 방법 등 다양한 노하우를 알려주셔서 매우 유익했습니다.

앞으로 이런 심도 있는 연수가 더 많이 나왔으면 좋겠습니다.",rate5,2023.07.13
62,설민석의 한국사능력검정시험[심화],한국사 공부하는데 유익한 연수였습니다.,rate5,2023.07.13
63,"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업","Chatgpt에 원래 관심이 많기도 했지만, 이외에도 다른 도구들을 설명해주셔서 재밌었습니다.",rate5,2023.07.13
64,조병영의 문해력 수업,문해력 수업 듣고 편하고 많은 도움이 되었습니다.,rate5,2023.07.13
65,뚝딱뚝딱 온앤오프 수업자료 만들기,"너무 너무 맍만족스러운 연수..
평소 수업자료 만드는게 어렵다고 느껴졌는데 강사분들의 설명을 천천히 따라하면 뭔가 될 것 같네요^^
여러번 복습해서 내것으로 만들어야 겠어요.
좋은 연수 감사합니다!",rate5,2023.07.12
66,조병영의 문해력 수업,"국어수업에만 적용되는 문해력이 아님을 깨닫게 된 연수이었다. 이중언어 학습자에 관한 것, 디지털 리터러시 등 다양한 문해력을 배울 수 있는 연수이었다.",rate5,2023.07.12
67,설민석의 한국사능력검정시험[심화]-상,"역사는 들으면 재밌고, 알면 알수록 어렵네요^^
그냥 듣기만 하면 재미있는 연수입니다.
그러나... 시험을 보려니 어렵네요. 유익한 연수였습니다.",rate5,2023.07.11
68,수업과 성장을 돕는 과정중심평가_초등 기초,과정중심평가에 대해 잘알게 된 계기였습니다.,rate3,2023.07.11
69,"학습부진, 기초튼튼! 실력쑥쑥!",학습부진에 대해 잘 알게 된 계기였습니다,rate3,2023.07.11
70,"학습부진, 천천히 함께 걷기",추천합니다.,rate5,2023.07.11
71,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼",추천합니다.,rate5,2023.07.11
72,수업과 성장을 돕는 과정중심평가_초등 기초,추천합니다.,rate5,2023.07.11
73,쏭내관과 함께하는 랜선궁궐기행2,추천합니다.,rate5,2023.07.11
74,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 학습지도,매년 어려워지는 것 같아요. 1학년은 귀엽지만... 그게 장점의 전부인 듯 합니다. 다들 힘내세요!,rate5,2023.07.11
75,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼",너무나 많이 들었지만 실감은 나지 않았어요. 진짜 가깝고 위험한 일이에요,rate5,2023.07.11
76,"다함께 Green 미래 환경 교육, 기후위기에 대처하는 에코(ECO) 지식 토크쇼",추천합니다.,rate5,2023.07.11
77,Talk Talk(똑똑)한 금융교육,적극 추천합니다.,rate5,2023.07.11
78,"학습격차, 차이를 넘어 함께 성장하기",적극 추천합니다.,rate5,2023.07.11
79,읽고 쓰고 만드는 그림책 수업,행복한 수업입니다. 마음의 열정을 쏟고 표현하는 행복한 시간입었습니다.,rate5,2023.07.11
80,수업과 성장을 돕는 과정중심평가_초등 종합,수업과 성장을 돕는 과정중심평가_초등 종합- 한 번 쯤 들을 만 한 연수 입니다,rate5,2023.07.11
81,"기초학력교육, 관계형성이 먼저다.",도움이 많이 되었습니다.,rate5,2023.07.11
82,Let's AI 인공지능 교육 활용편,인공지능 프로그래밍 교육을 통해 학생들의 문제 해결 능력과 창의성을 인공지능 기초 원리와 활용을 통해 의학생들의 의사소통 능능력과 협업 능력을 키우는데 도움이 될 것 같습니다. 또한 인공지능 윤리 수업을 통해 학생들이 비판적 사고 능력을 함양하는데 도움이 될 것 같습니다.,rate5,2023.07.11
83,핵심만 콕! 수업에 바로 쓰는 메타버스,"좋은 강의 감사합니다.
잘 듣고 갑니다.",rate5,2023.07.10
84,"기초학력교육, 관계형성이 먼저다.","학습전, 관계형성이 우선임을 재인식하였습니다. 다양한 게임을 통해 즐겁게 학습에 임하게 하는 교수법이 좋았습니다.",rate5,2023.07.10
85,"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기","퍼실리테이터와 퍼실리테이션의 개념과 꽉 잡아갑니다.
교실 현장에서 적용 가능한 방법도 많이 알려주셔서 여러모로 유익한 강의였습니다.
퍼실리테이터 전문가가 되려면 5년이 걸린다고 하셨는데, 저도 아이들의 조력자로서의 역할을 잘 해내도록 노력해보겠습니다.
귀한 강의 열어주셔서 감사합니다.",rate5,2023.07.09
86,정재승의 미래학교,다양한 각도에서 미래 사회를 조망하며 교사가 꼭 알아야 할 것들을 잘 이야기해 주셨습니다.,rate5,2023.07.09
87,"생각을 꺼내는 교육, 이제는 IB 시대","현재 수능킬러 문항이 문제시되고 있고.
수능평가의 절대평가화 과도기에서 ib교육과정의
공교육에 도입시 미래교육에서 어떤 영향력으로 작용할지
궁금하고 약간의 혼란이 우려되기도 한다.
미래를 살아갈 아이들에게 도움이 되는 교육과정이길 기대해본다.",rate5,2023.07.09
88,조병영의 문해력 수업,문해력의 중요성을 다시 한 번 깨닫게 되었습니다.,rate5,2023.07.08
89,조병영의 문해력 수업,문해력에 대한 전반적인 사항을 이해할 수 있는 연수입니다.,rate2,2023.07.07
90,"기초학력의 첫걸음, 한글교육","이 연수를 통해 제대로 한글교육을 할 수 있을 것 같습니다.
아주 만족합니다.",rate5,2023.07.07
91,조병영의 문해력 수업,집중하지 않고 눈으로만 책을 보는 아이들이 많습니다. 책 읽는 재미를 가르쳐주고 맥락을 제대로 이해하는 수업을 하고 싶어서 신청했습니다. 잘 보고 갑니다.,rate5,2023.07.07
92,유초등을 사로잡는 감동의 그림책 놀이수업,아침마다 책 한 권씩 아이들에게 읽어주고 있습니다. 책을 미리 선택하고 준비하는 과정이 만만치 않지만 집중하고 좋아하는 아이들을 보며 힘내서 하고 있습니다. 다양한 책의 선택의 폭을 넓히고 읽는 과정을 생각해 보고 갑니다.,rate5,2023.07.07
93,서준호 선생님의 놀이 끝판왕 100,체육시간에 바로바로 써먹을 수 있는 멋진 강의였습니다. 교재를 가지고 있으면 교직생활 동안 보물상자처럼 재밌는 놀이를 꺼내 쓸 수 있을 것 같습니다.,rate5,2023.07.05
94,EBS다큐프라임으로 배우는 생태전환교육,"천적으로부터 알을 보호하기 위한 곤충과 새, 어류 등 모든 동물들의 모성본능은 인간보다 못하지 않았다. 정말 치밀하고 전략적이고 영리한 동물들의 세계였다. 1부1처제인 너구리는 집단생활을 하며 서열이 정해진다. 숲의 청소부인 너구리는 개과동물의 생존본능으로 잘 살아가지만 가장 많은 사망원인은 개선충 진드기와 자동차 로드킬이었다. 참치의 유통구조와 가격은 일본에 의해 장악된 상태로 일본에서는 참치의 남획이 허용되고 있다. 참치의 어획량 감소로 인공양식의 기술개발이 시급하다. 연어는 포획을 감수하고 회귀하는 이유는 산란을 위해서다. 호주 캥거루섬에서는 기후위기에 의한 산불이 6개월간 지속되고 약 10억마리의 동물이 죽음을 맞이했다. 호주의 갈라파고스인 캥거루섬은 3분의 1이 불탄 섬이다. 도시의 방음벽은 새들이 지나다니는 길목에 설치되어 하루 2만마리, 연 8백만마리가 떨어져 죽는다. 지구의 6번째 대멸종은 기후변화로 인한 것이다. 시베리아동토층이 녹으며 생긴 고대의 바이러스들이 동물과 인간을 감염시킬 수가 있다.",rate5,2023.07.05
95,추억 소환! 종이접기 리턴즈,"종이 접기는 학생들과 함께 즐길 수 있는 편안한 연수였습니다; )
난이도가 점점 어려워져서 학생들과 고민하며 애먹긴 했지만
종이접기 연수 덕분에 학급에서 종이접기를 잘하는 학생들을 알게 되었고,
학생 스스로도 뿌듯해하며 자랑스러워 하는 모습에 저 또한 즐거웠습니다.
학생들과 함께 들을 수 있는 연수였으며, 함께 고민하며 즐겁게 연수를 마쳤습니다.
종이접기 연수 꼭 들어보세요. 참고로 6학년 학생들과 함께 들었습니다.",rate5,2023.07.05
96,뚜루뚜루와 함께 처음 시작하는 AI 코딩,흥미롭고 유익한 연수였습니다.,rate5,2023.07.05
97,"4R'S로 키우는 힘, 기초학력교육",기초 학력이 부진한 학생 지도 경험을 바탕으로 세세하게 이야기를 풀어주어서 좋았습니다.,rate5,2023.07.04
98,함소아 한의원 김한빛 원장이 들려주는 우리아이 체질별 지도법,아주 유익한 연수입니다.,rate5,2023.07.04
99,"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",아주 유익한 연수입니다.,rate5,2023.07.04
100,"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",요즘 사회적으로 이슈가 되고 있는 챗 GPT에 대한 바른 이해와 챗GPT와 관련된 다양한 프로그램을 접할 수 있는 좋은 기회였던 것 같습니다.,rate5,2023.07.04
101,EBS다큐프라임으로 배우는 생태전환교육,"사실 몇 년 전에는 굳이였던 기후변화교육이 요즘은 내가 살기 위해서 필수가 되는 시대가 되었습니다.
다소 오염된 환경만 보여주며 지키자! 주장하는 평소 패러다임을 바꾸고자 이 연수를 신청해서 자발적으로 듣게 되었습니다

아름답고 정성된 영상, 간결한 설명 등을 몰아 보면서 지구 여행을 다녀온 느낌이었습니다.
아름다운 자연을 꼭 지켜겠다고 다짐하게 만들어 준 연수였습니다. 편안하게 보고 또 기회가 된다면 수업으로 연계해도 좋을 것 같습니다.

*3학년 동물의 한살이 단원에 다양한 영상은 많은 도움이 되었습니다. (토토리거위벌레, 뻐꾸기 등)",rate5,2023.07.04
102,정재승의 미래학교,"배움의 의미를 찾지 못하는 아이들. 그건 세상의 변화에 수업이 따라가지 못하기 때문이라 생각했습니다.
정재승 교수님의 강연을 바탕으로 제 수업에도 조금더 변화하고 여기서의 배움을 아이들의 진학지도에 활용해 보겠습니다.

감사합니다.",rate5,2023.07.04
103,"학습격차, 차이를 넘어 함께 성장하기",만족합니다,rate5,2023.07.03
104,학생중심의 질문이 있는 교실,잘 적용해 볼게요~,rate5,2023.07.03
105,두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,오랜만에 하는 1학년 학급운영에 도움되었습니다~,rate5,2023.07.03
106,직업탐구 - 별일입니다,"다양한 미래 유망 직종에 대한 탐구 시간이었습니다.
각 분야에 종사하는 전문가가 나와 설명해주는 직업연수라 더 와닿았습니다.
유익한 연수 감사합니다.",rate5,2023.07.03
107,수업과 성장을 돕는 과정중심평가_초등 기초,과정중심평가에 대해 생각해볼 수 있는 기회였습니다.,rate5,2023.07.03
108,한국어교육실습,실습에 관한 유익한 연수였습니다,rate5,2023.07.02
109,"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기",잘들었어요.잘들었어요.잘들었어요.잘들었어요.잘들었어요.,rate5,2023.07.02
110,"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업","연수 도움이 되었습니다.
자료수집 및 글짓기에 도움을 받을 수 있는 chat gpt의 긍정적 기능과 함께 윤리적 측면을 고려하여 할 것이다.",rate5,2023.07.02
111,교실에서 바로 적용하는 스마트기기 활용 수업,다양한 정보를 알 수 있어 좀 더 세세하게 공부하여 교실에서 잘 활용해 보겠습니다.,rate5,2023.07.02
112,수업과 성장을 돕는 과정중심평가_초등 기초,평가를 통한 수업에 대한 흥미를 가지게 되었습니다. 항상 즐겁게 강의하시는 교수님의 얼굴이 떠오르네요,rate5,2023.06.30
113,설민석의 한국사능력검정시험[심화],강의를 열심히 듣게 되었습니다. 그리고 연수를 듣고 한국사에 대해 자신감도 생기게 되었습니다. 시험을 좀 어려웠지만 그래도 많은 것을 알게 된 강의였습니다.,rate5,2023.06.30
114,직업탐구 - 별일입니다,새롭고 다양한 직업에 대해 알 수 있는 귀중한 시간이었습니다.,rate5,2023.06.30
115,안전교육 SOS - 아이들을 부탁해!,유익한 연수 감사합니다,rate5,2023.06.29
116,"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기","새로운 꿈을 품게 되었어요.
일상을 퍼실리레이터로 살아가려 합니다.",rate5,2023.06.29
117,Let's AI 인공지능 교육 활용편,인공지능의 기초적인 내용을 공부하는 데 도움이 되었습니다.,rate5,2023.06.29
118,"4R'S로 키우는 힘, 기초학력교육",기초학력이 부진한 학생들을 지도하는 데 많은 도움을 받았습니다.,rate5,2023.06.29
119,조병영의 문해력 수업,"최근 여러 연수를 들었지만,
문해력을 이해하는 학문적 강의도 있고
수업에도 적용할 수 있는 세심한 부분까지
매우 만족스럽고
추천하고 싶은 연수이다.
기초학력지도에도 도움이 되고, 다문화 표현보다 이중언어학습자 지도에도 큰도움이 되었다.",rate5,2023.06.29
